Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2015,ATL @ CAR,14,Sun,1:03PM,-13.8%,7.5,-38,-30.5,-39.5,-10.61,-3.1099999999999994,-27.39,"[[14.5, 12.0], [9.0, 7.0]]",1,CAR,1
2015,BUF @ PHI,14,Sun,1:01PM,4.5%,1.0,-3,-2.0,12.1,0.45,1.45,-3.45,"[[3.0, 1.0], [-2.0, -4.0]]",1,BUF,0
2015,DAL @ GB,14,Sun,4:25PM,-14.2%,6.5,-21,-14.5,-17.5,-6.0,0.5,-15.0,"[[9.5, 7.5], [4.5, 2.5]]",0,,0
2015,DET @ STL,14,Sun,1:02PM,-0.5%,-3.5,-7,-10.5,14.0,0.88,-2.62,-7.88,"[[3.0, 0.5], [-2.5, -4.5]]",1,STL,1
2015,IND @ JAC,14,Sun,1:02PM,-11.7%,1.5,-35,-33.5,2.9000000000000004,-1.59,-0.09000000000000008,-33.41,"[[5.5, 3.0], [0.0, -2.0]]",0,,1
2015,MIN @ ARI,14,Thu,8:25PM,2.7%,8.5,-3,5.5,-22.8,-7.13,1.37,4.13,"[[11.0, 8.5], [5.5, 3.5]]",1,MIN,1
2015,NE @ HOU,14,Sun,8:31PM,22.3%,-3.5,21,17.5,23.8,3.09,-0.41000000000000014,17.91,"[[0.5, -1.5], [-4.5, -7.0]]",0,,0
2015,NO @ TB,14,Sun,1:02PM,-18.1%,4.5,7,11.5,-22.400000000000002,-7.05,-2.55,14.05,"[[11.0, 8.5], [5.5, 3.5]]",1,TB,0
2015,NYG @ MIA,14,Mon,8:30PM,-6.2%,-1.0,7,6.0,7.6000000000000005,-0.55,-1.55,7.55,"[[4.0, 2.0], [-1.0, -3.0]]",1,MIA,0
2015,OAK @ DEN,14,Sun,4:05PM,4.6%,6.5,3,9.5,-14.799999999999999,-5.43,1.0700000000000003,8.43,"[[9.0, 7.0], [4.0, 1.5]]",0,,1
2015,PIT @ CIN,14,Sun,1:02PM,22.0%,2.5,13,15.5,-10.100000000000001,-4.42,-1.92,17.42,"[[8.0, 6.0], [3.0, 0.5]]",1,CIN,0
2015,SD @ KC,14,Sun,1:03PM,-21.5%,10.5,-7,3.5,-56.0,-13.93,-3.4299999999999997,6.93,"[[17.5, 15.5], [12.5, 10.0]]",1,KC,0
2015,SEA @ BAL,14,Sun,1:02PM,37.8%,-11.0,29,18.0,42.9,7.49,-3.51,21.509999999999998,"[[-4.0, -6.0], [-9.0, -11.0]]",1,BAL,0
2015,SF @ CLE,14,Sun,1:02PM,-31.4%,1.5,-14,-12.5,-6.899999999999999,-3.73,-2.23,-10.27,"[[7.5, 5.0], [2.0, 0.0]]",1,CLE,1
2015,TEN @ NYJ,14,Sun,1:02PM,-25.4%,7.0,-22,-15.0,-31.9,-9.04,-2.039999999999999,-12.96,"[[12.5, 10.5], [7.5, 5.5]]",1,NYJ,1
2015,WAS @ CHI,14,Sun,1:02PM,-2.7%,3.5,3,6.5,1.7000000000000002,-1.85,1.65,4.85,"[[5.5, 3.5], [0.5, -2.0]]",1,WAS,1
