Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ARI,BUF,10,Sun,4:05PM,1,6.4%,-2.5,0,-2.5
2020,BAL,NE,10,Sun,8:20PM,0,18.5%,-7.0,0,-7.0
2020,BUF,ARI,10,Sun,4:05PM,0,5.9%,2.5,0,2.5
2020,CAR,TB,10,Sun,1:00PM,1,-3.7%,6.0,0,6.0
2020,CHI,MIN,10,Mon,8:15PM,1,-1.7%,3.0,0,3.0
2020,CIN,PIT,10,Sun,4:25PM,0,-18.9%,7.0,0,7.0
2020,CLE,HOU,10,Sun,1:00PM,1,-6.9%,-4.0,0,-4.0
2020,DEN,LV,10,Sun,4:05PM,0,-16.1%,3.5,0,3.5
2020,DET,WAS,10,Sun,1:00PM,1,-3.4%,-3.0,0,-3.0
2020,GB,JAX,10,Sun,1:00PM,1,11.6%,-14.0,0,-14.0
2020,HOU,CLE,10,Sun,1:00PM,0,-4.4%,4.0,0,4.0
2020,IND,TEN,10,Thu,8:20PM,0,16.4%,-1.0,17,16.0
2020,JAX,GB,10,Sun,1:00PM,0,-18.8%,14.0,0,14.0
2020,LAC,MIA,10,Sun,4:05PM,0,-4.4%,1.5,0,1.5
2020,LAR,SEA,10,Sun,4:25PM,1,10.3%,-2.5,0,-2.5
2020,LV,DEN,10,Sun,4:05PM,1,-6.6%,-3.5,0,-3.5
2020,MIA,LAC,10,Sun,4:05PM,1,0.8%,-1.5,0,-1.5
2020,MIN,CHI,10,Mon,8:15PM,0,2.8%,-3.0,0,-3.0
2020,NE,BAL,10,Sun,8:20PM,1,-13.1%,7.0,0,7.0
2020,NO,SF,10,Sun,4:25PM,1,25.4%,-9.5,0,-9.5
2020,NYG,PHI,10,Sun,1:00PM,1,-12.4%,4.0,0,4.0
2020,PHI,NYG,10,Sun,1:00PM,0,-7.5%,-4.0,0,-4.0
2020,PIT,CIN,10,Sun,4:25PM,1,18.3%,-7.0,0,-7.0
2020,SEA,LAR,10,Sun,4:25PM,0,12.9%,2.5,0,2.5
2020,SF,NO,10,Sun,4:25PM,0,2.9%,9.5,0,9.5
2020,TB,CAR,10,Sun,1:00PM,0,20.9%,-6.0,0,-6.0
2020,TEN,IND,10,Thu,8:20PM,1,8.2%,1.0,-17,-16.0
2020,WAS,DET,10,Sun,1:00PM,0,-15.2%,3.0,0,3.0
