Game,EGO,Spread,Spread Target,Pick
BAL @ PIT,-3.49,5.0,"[7.0, 5.0]",BAL
HOU @ DET,-3.56,-3.0,"[2.0, -0.0]",
WAS @ DAL,-1.45,2.5,"[5.0, 3.0]",
ARI @ NE,2.36,-2.0,"[1.5, -1.0]",
CAR @ MIN,-3.03,3.0,"[6.5, 4.5]",
CLE @ JAX,-0.35,-7.0,"[-1.0, -3.5]",
LAC @ BUF,-5.03,4.5,"[3.5, 1.5]",
LV @ ATL,-1.41,-3.0,"[-0.0, -2.5]",
MIA @ NYJ,5.22,-7.0,"[-6.5, -9.0]",NYJ
NYG @ CIN,0.01,-6.0,"[-1.5, -3.5]",
TEN @ IND,-5.35,3.0,"[4.0, 1.5]",IND
NO @ DEN,9.8,-14.5,"[-11.5, -13.5]",
SF @ LAR,-4.49,6.5,"[8.0, 6.0]",SF
KC @ TB,-2.47,-3.5,"[1.0, -1.0]",
CHI @ GB,-4.1,9.5,"[8.0, 5.5]",
SEA @ PHI,3.31,-5.5,"[-5.0, -7.0]",PHI
