Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick
2020,ARI,BUF,10,Sun,4:05PM,1,6.4%,-2.0,0,-2.0,0.5,2.34,0.33999999999999986,-2.34,"[[1.5, -1.0], [-4.0, -6.0]]",0,
2020,BAL,NE,10,Sun,8:20PM,0,18.5%,-7.0,0,-7.0,31.6,4.87,-2.13,-4.87,"[[-1.0, -3.5], [-6.5, -8.5]]",1,NE
2020,BUF,ARI,10,Sun,4:05PM,0,5.9%,2.0,0,2.0,-0.5,-2.34,-0.33999999999999986,2.34,"[[6.0, 4.0], [1.0, -1.5]]",0,
2020,CAR,TB,10,Sun,1:00PM,1,-3.7%,4.5,0,4.5,-24.599999999999998,-3.27,1.23,3.27,"[[7.0, 5.0], [2.0, -0.5]]",0,
2020,CHI,MIN,10,Mon,8:15PM,1,-1.7%,2.5,0,2.5,-4.5,1.23,3.73,-1.23,"[[2.5, 0.5], [-2.5, -5.0]]",1,CHI
2020,CIN,PIT,10,Sun,4:25PM,0,-18.9%,7.5,0,7.5,-37.2,-10.14,-2.6400000000000006,10.14,"[[14.0, 11.5], [8.5, 6.5]]",1,PIT
2020,CLE,HOU,10,Sun,1:00PM,1,-6.9%,-3.0,0,-3.0,-2.5,1.67,-1.33,-1.67,"[[2.0, -0.0], [-3.0, -5.5]]",1,HOU
2020,DEN,LV,10,Sun,4:05PM,0,-16.1%,5.0,0,5.0,-9.500000000000002,-4.29,0.71,4.29,"[[8.0, 6.0], [3.0, 0.5]]",0,
2020,DET,WAS,10,Sun,1:00PM,1,-3.4%,-3.5,0,-3.5,11.799999999999999,4.79,1.29,-4.79,"[[-1.0, -3.5], [-6.5, -8.5]]",1,DET
2020,GB,JAX,10,Sun,1:00PM,1,11.6%,-13.5,0,-13.5,30.4,8.73,-4.77,-8.73,"[[-5.0, -7.0], [-10.0, -12.5]]",0,
2020,HOU,CLE,10,Sun,1:00PM,0,-4.4%,3.0,0,3.0,2.5,-1.67,1.33,1.67,"[[5.5, 3.0], [0.0, -2.0]]",1,HOU
2020,IND,TEN,10,Thu,8:20PM,0,16.4%,2.0,0,2.0,8.2,-0.41,1.59,0.41,"[[4.0, 2.0], [-1.0, -3.5]]",1,IND
2020,JAX,GB,10,Sun,1:00PM,0,-18.8%,13.5,0,13.5,-30.4,-8.73,4.77,8.73,"[[12.5, 10.0], [7.0, 5.0]]",0,
2020,LAC,MIA,10,Sun,4:05PM,0,-4.4%,2.5,0,2.5,-5.2,-3.36,-0.8599999999999999,3.36,"[[7.0, 5.0], [2.0, -0.5]]",0,
2020,LAR,SEA,10,Sun,4:25PM,1,10.3%,-1.5,0,-1.5,-2.5999999999999996,1.65,0.1499999999999999,-1.65,"[[2.0, -0.0], [-3.0, -5.5]]",0,
2020,LV,DEN,10,Sun,4:05PM,1,-6.6%,-5.0,0,-5.0,9.500000000000002,4.29,-0.71,-4.29,"[[-0.5, -3.0], [-6.0, -8.0]]",0,
2020,MIA,LAC,10,Sun,4:05PM,1,0.8%,-2.5,0,-2.5,5.2,3.36,0.8599999999999999,-3.36,"[[0.5, -2.0], [-5.0, -7.0]]",0,
2020,MIN,CHI,10,Mon,8:15PM,0,2.8%,-2.5,0,-2.5,4.5,-1.23,-3.73,1.23,"[[5.0, 2.5], [-0.5, -2.5]]",1,CHI
2020,NE,BAL,10,Sun,8:20PM,1,-13.1%,7.0,0,7.0,-31.6,-4.87,2.13,4.87,"[[8.5, 6.5], [3.5, 1.0]]",1,NE
2020,NO,SF,10,Sun,4:25PM,1,25.4%,-10.0,0,-10.0,22.5,7.07,-2.9299999999999997,-7.07,"[[-3.5, -5.5], [-8.5, -11.0]]",1,SF
2020,NYG,PHI,10,Sun,1:00PM,1,-12.4%,3.5,0,3.5,-4.9,1.15,4.65,-1.15,"[[2.5, 0.5], [-2.5, -5.0]]",0,
2020,PHI,NYG,10,Sun,1:00PM,0,-7.5%,-3.5,0,-3.5,4.9,-1.15,-4.65,1.15,"[[5.0, 2.5], [-0.5, -2.5]]",0,
2020,PIT,CIN,10,Sun,4:25PM,1,18.3%,-7.5,0,-7.5,37.2,10.14,2.6400000000000006,-10.14,"[[-6.5, -8.5], [-11.5, -14.0]]",1,PIT
2020,SEA,LAR,10,Sun,4:25PM,0,12.9%,1.5,0,1.5,2.5999999999999996,-1.65,-0.1499999999999999,1.65,"[[5.5, 3.0], [0.0, -2.0]]",0,
2020,SF,NO,10,Sun,4:25PM,0,2.9%,10.0,0,10.0,-22.5,-7.07,2.9299999999999997,7.07,"[[11.0, 8.5], [5.5, 3.5]]",1,SF
2020,TB,CAR,10,Sun,1:00PM,0,20.9%,-4.5,0,-4.5,24.599999999999998,3.27,-1.23,-3.27,"[[0.5, -2.0], [-5.0, -7.0]]",0,
2020,TEN,IND,10,Thu,8:20PM,1,8.2%,-2.0,0,-2.0,-8.2,0.41,-1.59,-0.41,"[[3.5, 1.0], [-2.0, -4.0]]",1,IND
2020,WAS,DET,10,Sun,1:00PM,0,-15.2%,3.5,0,3.5,-11.799999999999999,-4.79,-1.29,4.79,"[[8.5, 6.5], [3.5, 1.0]]",1,DET
